Date,State,Handgun,Longgun,Multiples,Totals,Year,Month
2016-07-01,Illinois,21421.0,11881.0,881,168227,2016,7
2016-07-01,Indiana,19508.0,12191.0,644,88340,2016,7
2016-07-01,Iowa,186.0,2227.0,1,11937,2016,7
2016-07-01,Kansas,6075.0,4942.0,329,14140,2016,7
2016-07-01,Kentucky,9378.0,6615.0,534,363085,2016,7
2016-07-01,Louisiana,21637.0,12252.0,1031,41063,2016,7
2016-07-01,Maine,3426.0,3026.0,166,7702,2016,7
2016-07-01,Mariana Islands,0.0,1.0,0,1,2016,7
2016-07-01,Maryland,3973.0,5505.0,35,12228,2016,7
2016-07-01,Massachusetts,6257.0,5108.0,439,20480,2016,7
2016-07-01,Michigan,11308.0,8095.0,239,40142,2016,7
2016-07-01,Minnesota,9743.0,9207.0,373,43368,2016,7
2016-07-01,Mississippi,10425.0,6125.0,459,21907,2016,7
2016-07-01,Missouri,20791.0,13575.0,981,46637,2016,7
2016-07-01,Montana,2894.0,3882.0,194,9869,2016,7
2016-07-01,Nebraska,93.0,1529.0,5,5429,2016,7
2016-07-01,Nevada,5194.0,3006.0,308,11785,2016,7
2016-07-01,New Hampshire,5200.0,3716.0,3,13068,2016,7
2016-07-01,New Jersey,5708.0,4155.0,0,10074,2016,7
2016-07-01,New Mexico,5380.0,3966.0,300,12219,2016,7
2016-07-01,New York,10900.0,13073.0,204,29513,2016,7
2016-07-01,North Carolina,1157.0,12487.0,215,44123,2016,7
2016-07-01,North Dakota,1333.0,2457.0,64,5470,2016,7
2016-07-01,Ohio,27876.0,17720.0,1232,63148,2016,7
2016-07-01,Oklahoma,11750.0,8792.0,752,25946,2016,7
2016-07-01,Oregon,14284.0,10507.0,0,24813,2016,7
2016-07-01,Pennsylvania,46843.0,11793.0,0,86137,2016,7
2016-07-01,Puerto Rico,1038.0,234.0,20,1331,2016,7
2016-07-01,Rhode Island,1133.0,951.0,155,2368,2016,7
2016-07-01,South Carolina,9967.0,5880.0,361,32730,2016,7
2016-07-01,South Dakota,2490.0,3004.0,135,7406,2016,7
2016-07-01,Tennessee,26276.0,16118.0,1374,57653,2016,7
2016-07-01,Texas,50499.0,34266.0,2698,127207,2016,7
2016-07-01,Utah,3381.0,3328.0,102,17608,2016,7
2016-07-01,Vermont,1293.0,1201.0,57,2674,2016,7
2016-07-01,Virgin Islands,21.0,2.0,1,105,2016,7
2016-07-01,Virginia,24671.0,16731.0,0,43574,2016,7
2016-07-01,Washington,15652.0,11536.0,653,47887,2016,7
2016-07-01,West Virginia,6417.0,5134.0,403,16791,2016,7
2016-07-01,Wisconsin,13182.0,9870.0,38,38922,2016,7
2016-07-01,Wyoming,1619.0,1769.0,99,4585,2016,7
2016-06-01,Alabama,9146.0,7273.0,431,44976,2016,6
2016-06-01,Alaska,2987.0,3204.0,185,7406,2016,6
2016-06-01,Arizona,12942.0,8614.0,685,32540,2016,6
2016-06-01,Arkansas,5454.0,4574.0,333,18779,2016,6
2016-06-01,California,43042.0,37512.0,0,173846,2016,6
2016-06-01,Colorado,17790.0,15115.0,1061,41134,2016,6
2016-06-01,Connecticut,12011.0,3974.0,0,33475,2016,6
2016-06-01,Delaware,1842.0,1621.0,93,4987,2016,6
2016-06-01,District of Columbia,46.0,3.0,0,72,2016,6
2016-06-01,Florida,55934.0,29501.0,2428,125567,2016,6
2016-06-01,Georgia,13307.0,7859.0,550,42626,2016,6
2016-06-01,Guam,104.0,50.0,3,164,2016,6
2016-06-01,Hawaii,0.0,0.0,0,1754,2016,6
2016-06-01,Idaho,3445.0,4143.0,192,12947,2016,6
2016-06-01,Illinois,22277.0,12787.0,891,164500,2016,6
2016-06-01,Indiana,18307.0,11949.0,674,94326,2016,6
2016-06-01,Iowa,129.0,2004.0,8,12209,2016,6
2016-06-01,Kansas,5275.0,4447.0,306,12364,2016,6
2016-06-01,Kentucky,8703.0,6584.0,499,360293,2016,6
2016-06-01,Louisiana,12082.0,8428.0,596,26278,2016,6
2016-06-01,Maine,3433.0,2943.0,183,7858,2016,6
2016-06-01,Mariana Islands,0.0,1.0,0,1,2016,6
2016-06-01,Maryland,4288.0,4864.0,49,11647,2016,6
2016-06-01,Massachusetts,5965.0,3404.0,241,17743,2016,6
2016-06-01,Michigan,10335.0,8282.0,227,39580,2016,6
2016-06-01,Minnesota,8880.0,9723.0,433,47916,2016,6
2016-06-01,Mississippi,7804.0,4692.0,369,17507,2016,6
2016-06-01,Missouri,18770.0,13295.0,958,45384,2016,6
2016-06-01,Montana,2968.0,4379.0,171,10610,2016,6
2016-06-01,Nebraska,107.0,1609.0,6,5777,2016,6
2016-06-01,Nevada,4949.0,3114.0,279,11771,2016,6
2016-06-01,New Hampshire,5166.0,3453.0,6,12661,2016,6
2016-06-01,New Jersey,6266.0,4294.0,0,10806,2016,6
2016-06-01,New Mexico,5336.0,4231.0,300,12560,2016,6
2016-06-01,New York,10062.0,12213.0,200,28472,2016,6
2016-06-01,North Carolina,1181.0,11749.0,223,44535,2016,6
2016-06-01,North Dakota,1312.0,2377.0,64,6568,2016,6
2016-06-01,Ohio,24397.0,17086.0,1203,60366,2016,6
2016-06-01,Oklahoma,11933.0,8811.0,802,26167,2016,6
2016-06-01,Oregon,14054.0,11400.0,0,25502,2016,6
2016-06-01,Pennsylvania,44677.0,11841.0,0,80806,2016,6
2016-06-01,Puerto Rico,1025.0,214.0,18,1298,2016,6
2016-06-01,Rhode Island,1146.0,862.0,173,2302,2016,6
2016-06-01,South Carolina,9619.0,5599.0,348,30209,2016,6
2016-06-01,South Dakota,2460.0,3139.0,143,7519,2016,6
2016-06-01,Tennessee,22476.0,15194.0,1465,56218,2016,6
2016-06-01,Texas,46816.0,33501.0,2509,120263,2016,6
2016-06-01,Utah,3433.0,3731.0,186,28189,2016,6
2016-06-01,Vermont,1240.0,1225.0,85,2688,2016,6
2016-06-01,Virgin Islands,24.0,7.0,1,106,2016,6
2016-06-01,Virginia,20132.0,15480.0,0,37593,2016,6
2016-06-01,Washington,17040.0,13267.0,711,50487,2016,6
2016-06-01,West Virginia,6602.0,4821.0,392,16423,2016,6
2016-06-01,Wisconsin,12464.0,11144.0,70,30747,2016,6
2016-06-01,Wyoming,1638.0,2110.0,104,4812,2016,6
2016-05-01,Alabama,7903.0,5256.0,294,36157,2016,5
2016-05-01,Alaska,2582.0,2391.0,160,5991,2016,5
2016-05-01,Arizona,10994.0,6539.0,529,28671,2016,5
2016-05-01,Arkansas,4551.0,3596.0,224,16422,2016,5
2016-05-01,California,38301.0,28723.0,0,166035,2016,5
2016-05-01,Colorado,16293.0,11252.0,921,36512,2016,5
2016-05-01,Connecticut,9953.0,3362.0,0,29247,2016,5
2016-05-01,Delaware,1722.0,1121.0,57,4355,2016,5
2016-05-01,District of Columbia,47.0,6.0,0,110,2016,5
2016-05-01,Florida,42845.0,17025.0,1506,94732,2016,5
2016-05-01,Georgia,10866.0,5510.0,420,33740,2016,5
2016-05-01,Guam,119.0,56.0,10,194,2016,5
2016-05-01,Hawaii,0.0,0.0,0,1316,2016,5
2016-05-01,Idaho,3132.0,3323.0,167,8658,2016,5
2016-05-01,Illinois,19264.0,8686.0,598,119574,2016,5
2016-05-01,Indiana,16842.0,9264.0,543,119897,2016,5
2016-05-01,Iowa,121.0,1569.0,3,12578,2016,5
2016-05-01,Kansas,4648.0,3553.0,263,10559,2016,5
2016-05-01,Kentucky,8049.0,5244.0,414,321666,2016,5
2016-05-01,Louisiana,9561.0,5788.0,406,20462,2016,5
2016-05-01,Maine,3009.0,2464.0,141,6572,2016,5
2016-05-01,Mariana Islands,0.0,1.0,0,1,2016,5
2016-05-01,Maryland,4099.0,4148.0,21,11176,2016,5
2016-05-01,Massachusetts,5278.0,2325.0,158,15449,2016,5
2016-05-01,Michigan,9834.0,6490.0,162,37823,2016,5
2016-05-01,Minnesota,8772.0,7638.0,340,42135,2016,5
2016-05-01,Mississippi,7005.0,3541.0,317,15159,2016,5
2016-05-01,Missouri,16909.0,10162.0,824,40752,2016,5
2016-05-01,Montana,2724.0,3881.0,175,9551,2016,5
2016-05-01,Nebraska,78.0,1277.0,5,4956,2016,5
2016-05-01,Nevada,4365.0,2329.0,225,10105,2016,5
2016-05-01,New Hampshire,4262.0,2645.0,5,10869,2016,5
2016-05-01,New Jersey,6542.0,3027.0,0,9770,2016,5
2016-05-01,New Mexico,4485.0,3269.0,224,10847,2016,5
2016-05-01,New York,10118.0,10815.0,151,26336,2016,5
2016-05-01,North Carolina,1119.0,8506.0,169,38727,2016,5
2016-05-01,North Dakota,1186.0,1798.0,48,4620,2016,5
2016-05-01,Ohio,26069.0,13219.0,973,58406,2016,5
2016-05-01,Oklahoma,10385.0,6490.0,686,21379,2016,5
2016-05-01,Oregon,12038.0,9194.0,0,21266,2016,5
2016-05-01,Pennsylvania,39963.0,8770.0,0,70244,2016,5
2016-05-01,Puerto Rico,991.0,166.0,20,1202,2016,5
2016-05-01,Rhode Island,936.0,536.0,113,1648,2016,5
